"","Language","GB257","GB260","GB262","GB263","GB264","GB285","GB286","GB291","GB297","Marking","Particles","Position","Latitude","Longitude"
"1","abad1241","0","0","0","1","0","0","0","0","0","ParticleOnly","Particle","Final",-9.03389,146.992
"2","abar1238","0","0","0","1","0","0","0","0","0","ParticleOnly","Particle","Final",6.5805,10.2267
"3","abee1242","?","?","?","?","?","?","?","?","?","UnknownQuestionMarking","No particle","No particle",5.59682,-4.38497
"4","aben1249","?","?","?","?","?","?","?","?","?","UnknownQuestionMarking","No particle","No particle",15.4131,120.2
"5","abip1241","0","0","0","0","0","0","1","0","0","MorphOnly","No particle","No particle",-29,-61
"6","abkh1244","0","0","0","0","0","0","1","0","0","MorphOnly","No particle","No particle",43.056218,41.159115
"7","abua1245","1","0","0","1","0","0","0","0","0","MultipleStrategies","Particle","Final",-3.461612,142.917031
"8","abun1252","0","0","1","1","0","0","0","0","0","ParticleOnly","Particle","Multiple",-0.57073,132.416
"9","acha1249","0","0","0","1","0","0","0","0","1","MultipleStrategies","Particle","Final",24.3479,97.7438
"10","acha1250","1","0","0","0","0","?","0","?","?","IntonationOnly","No particle","No particle",4.38649,-72.2005
"11","ache1245","0","0","0","1","0","0","0","0","0","ParticleOnly","Particle","Final",10.8827,30.3187
"12","ache1246","?","?","?","?","?","?","?","?","?","UnknownQuestionMarking","No particle","No particle",-25.5865,-56.4697
"13","achi1256","0","0","1","0","0","0","0","0","0","ParticleOnly","Particle","Initial",15.073,-90.3513
"14","achi1257","1","0","0","0","0","0","0","0","0","IntonationOnly","No particle","No particle",3.90757,96.6032
"15","achu1247","0","?","1","0","0","?","?","?","?","ParticleOnly","Particle","Initial",41.0979,-121.191
"16","achu1248","0","0","0","0","0","0","1","0","0","MorphOnly","No particle","No particle",-2.82646,-77.2641
"17","acol1236","?","?","?","?","?","?","?","?","0","UnknownQuestionMarking","No particle","No particle",3.57738,32.5147
"18","adan1251","1","0","0","0","0","0","0","0","0","IntonationOnly","No particle","No particle",-8.18958,124.448
"19","adny1235","?","?","?","?","?","?","?","?","?","UnknownQuestionMarking","No particle","No particle",-30.1451,138.671
"20","adon1237","1","0","0","1","0","0","0","0","0","MultipleStrategies","Particle","Final",-8.32027,123.159
"21","adze1240","1","0","0","0","0","0","0","0","0","IntonationOnly","No particle","No particle",-6.39394,146.294
"22","aeky1238","0","0","0","0","0","0","1","0","0","MorphOnly","No particle","No particle",-5.88478,141.532
"23","afad1236","?","?","?","?","?","?","?","?","?","UnknownQuestionMarking","No particle","No particle",12.0551,14.6343
