Language,Family,Particle,Category,Latitude,Longitude
Albanian,Indo-European,"mos, a",Disjunction,41,20
Amharic,Afro-Asiatic,way,Disjunction,10,38
Arabic (Egyptian),Afro-Asiatic,"huwwa, hijja, humma",Subordinator,30,31
Arabic (Syrian),Afro-Asiatic,hal,Disjunction,34,38
Arabic (Turku),Afro-Asiatic,wála,Disjunction,12.11,15.05
Basque,Basque,"ote, al, a",Multiple sources,42.5,-2.5
Belorussian,Indo-European,ci,Content interrogative,54,28
Breton,Indo-European,ha(g),Subordinator,48,-3
Bulgarian,Indo-European,da,Subordinator,42.5,25
Cantonese,Sino-Tibetan,me,Disjunction,23,113
Cornish,Indo-European,na,Disjunction,50.33,-5
English,Indo-European,"innit, hwæþer, hu (ne)",Multiple sources,52,0
Estonian,Uralic,"või/vä, ega, kas, ja/ju/jo, es, eks",Multiple sources,59,26
Finnish,Uralic,ko,Content interrogative,62,25
Florentine,Indo-European,che,Content interrogative,43.77,11.25
French,Indo-European,"est-ce que, ti",Multiple sources,48,2
Georgian,Kartvelian,tu ara,Disjunction,42,44
Greek,Indo-European,mípos,Modality,39,22
Guadalupe Creole,Isolate,anh/onh,Disjunction,16.25,-61.5
Hausa,Afro-Asiatic,kō,Disjunction,12,18
Hebrew,Afro-Asiatic,ha'im,Subordinator,31.5,34.83
Hungarian,Uralic,e,Disjunction,47,20
Indonesian,Austronesian,apa,Content interrogative,0,106
Irish,Indo-European,an,Subordinator,53,-8
Japanese,Japanese,no,Subordinator,37,140
Kannada,Dravidian,"e:nu, a",Multiple sources,14,76
Khwe,Khoe,rè,Disjunction,-17.5,22.5
Kobon,Trans-New Guinea,aka,Disjunction,-5.17,144.33
Lamani,Indo-European,kããi/ka,Content interrogative,17,77
Lao,Tai-Kadai,boh,Disjunction,18,103
Latin,Indo-European,"ne, an",Disjunction,42.6,12
Latvian,Uralic,vai,Disjunction,57,24
Limbu,Sino-Tibetan,i,Disjunction,27.17,87.75
Lithuanian,Indo-European,"ar, biau, be",Focus particle,55,24
Macedonian,Indo-European,da,Subordinator,41.67,21.75
Malayalam,Dravidian,o,Disjunction,10,76.5
Mandarin,Sino-Tibetan,ma,Disjunction,35,110
Mandinka,Mande,fó,Disjunction,15,-15.67
Moré,Atlantic-Congo,bi,Disjunction,12.83,-1.25
Niuean,Austronesian,"ka, kia, nakai",Multiple sources,-19.05,-170.12
Nung,Tai-Kadai,mi,Disjunction,21.92,106.42
Panjabi,Indo-European,kii,Content interrogative,31,74
Polish,Indo-European,"czy, li",Multiple sources,52,20
Portuguese,Indo-European,é que,Subordinator,39,-8
Quechua (Imbabura),Quechuan,chu,Disjunction,0.33,-78
Rapanui,Austronesian,hoki,Subordinator,-27,-109
Romanian,Indo-European,au,Disjunction,46,25
Russian,Indo-European,li,Disjunction,56,38
Sango,Isolate,wala,Disjunction,5,18
Serbian,Indo-European,li,Disjunction,44,19
Slave,Na-Dene,nį/élį,Focus particle,60,-116
Slovene,Indo-European,kaj,Content interrogative,46,15
Somali,Afro-Asiatic,ma,Disjunction,3,45
Swedish (Solf),Indo-European,åm,Subordinator,63.1,21.62
Thai,Tai-Kadai,"/rú/, /rú-plàaw/ (หรือเปล่า), /máy/",Disjunction,16,101
Tibetan,Sino-Tibetan,am,Disjunction,29.5,91
Tocharian A,Indo-European,assi,Disjunction,41,83
Tümpisa Shoshone,Uto-Aztecan,ha,Content interrogative,37,-117
Turkish,Altaic,mi (mı),Content interrogative,39,35
Tzotzil,Mayan,mi,Subordinator,16.5,-92.67
Ukrainian,Indo-European,čy,Content interrogative,49,33
Urdu/Hindi,Indo-European,kyā,Content interrogative,25,72
Vietnamese,Austro-Asiatic,không,Disjunction,10.5,106.5
Yoruba,Atlantic-Congo,bi,Disjunction,8,4.33
